Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,2/13/2022,1200,N483UA,DEN,15:09,14:59,199,188,-10,14:53,6,0,0,0,0,0,2022-02-13,1.5,-6.6,13.9,0.0,50.0,224.0,15.5,,1023.4,
UA,2/13/2022,1874,N68811,IAD,23:29,23:21,69,64,-8,23:15,6,0,0,0,0,0,2022-02-13,2.6,-4.3,4.4,4.8,30.0,351.0,12.6,,1020.1,
UA,2/14/2019,607,N848UA,ORD,21:20,21:12,105,102,-8,21:07,5,0,0,0,0,0,2019-02-14,2.3,-2.7,10.0,0.0,30.0,199.0,16.9,,1002.8,
UA,2/14/2019,964,N804UA,ORD,16:50,16:32,110,95,-18,16:28,4,0,0,0,0,0,2019-02-14,2.3,-2.7,10.0,0.0,30.0,199.0,16.9,,1002.8,
UA,2/14/2020,1643,N17719,ORD,23:51,0:54,106,91,63,0:50,4,6,0,0,0,57,2020-02-14,-14.4,-18.8,-9.3,0.0,80.0,244.0,12.6,,1034.2,
UA,2/14/2022,1094,N823UA,ORD,20:59,20:47,109,99,-12,20:42,5,0,0,0,0,0,2022-02-14,-8.4,-9.9,-3.2,0.0,0.0,217.0,10.1,,1026.4,
UA,2/14/2022,1200,N403UA,DEN,15:09,15:14,199,195,5,15:08,6,0,0,0,0,0,2022-02-14,6.1,-3.2,16.1,0.0,0.0,200.0,13.3,,1015.1,
UA,2/14/2022,1874,N66848,IAD,23:29,23:19,69,67,-10,23:13,6,0,0,0,0,0,2022-02-14,-2.8,-6.0,-0.5,0.0,0.0,307.0,15.1,,1024.5,
UA,2/15/2019,607,N429UA,ORD,21:20,21:27,105,97,7,21:22,5,0,0,0,0,0,2019-02-15,-5.1,-13.2,0.0,0.0,0.0,284.0,20.2,,1013.0,
UA,2/15/2020,617,N27722,ORD,21:19,21:02,109,93,-17,20:58,4,0,0,0,0,0,2020-02-15,-7.5,-13.8,0.6,0.0,80.0,204.0,20.5,,1021.0,
UA,2/15/2022,1094,N825UA,ORD,20:59,20:52,109,105,-7,20:48,4,0,0,0,0,0,2022-02-15,-2.2,-5.5,7.2,0.0,0.0,144.0,16.9,,1025.7,
UA,2/15/2022,1200,N873UA,DEN,15:09,14:55,199,188,-14,14:50,5,0,0,0,0,0,2022-02-15,6.6,-1.0,13.9,0.0,0.0,249.0,13.0,,1003.4,
UA,2/15/2022,1874,N66893,IAD,23:29,23:04,69,61,-25,22:59,5,0,0,0,0,0,2022-02-15,-3.0,-8.8,3.9,0.0,0.0,187.0,6.5,,1036.6,
UA,2/16/2019,607,N447UA,ORD,21:20,21:03,105,94,-17,20:57,6,0,0,0,0,0,2019-02-16,-7.4,-10.5,-1.6,0.0,0.0,17.0,14.4,,1019.3,
UA,2/16/2020,1643,N27722,ORD,21:19,20:56,109,95,-23,20:53,3,0,0,0,0,0,2020-02-16,-1.1,-6.6,6.1,0.0,50.0,264.0,5.8,,1019.9,
UA,2/16/2022,1094,N876UA,ORD,20:59,21:40,109,90,41,21:35,5,0,0,0,0,41,2022-02-16,7.6,5.0,12.8,21.1,0.0,207.0,25.6,,1009.8,
UA,2/16/2022,1200,N881UA,DEN,15:09,14:45,199,173,-24,14:40,5,0,0,0,0,0,2022-02-16,0.4,-8.8,1.1,6.1,80.0,57.0,16.2,,1009.6,
UA,2/16/2022,1874,N68807,IAD,23:29,23:22,69,74,-7,23:18,4,0,0,0,0,0,2022-02-16,2.9,-2.7,12.8,0.0,0.0,168.0,12.6,,1034.5,
UA,2/17/2019,607,,ORD,21:20,0:00,105,0,0,0:00,0,0,0,0,0,0,2019-02-17,-3.7,-4.3,-2.7,5.1,0.0,69.0,18.0,,1012.9,
UA,2/17/2020,1643,N17730,ORD,21:19,20:58,109,96,-21,20:54,4,0,0,0,0,0,2020-02-17,1.4,-2.1,5.0,3.3,30.0,120.0,14.8,,1015.9,
UA,2/17/2022,1094,N825UA,ORD,20:59,22:40,109,103,101,22:33,7,0,0,0,0,101,2022-02-17,1.8,-8.8,5.0,5.6,0.0,356.0,31.0,,1014.5,
UA,2/17/2022,1200,N821UA,DEN,15:09,15:28,199,182,19,15:24,4,19,0,0,0,0,2022-02-17,-6.6,-9.9,-1.6,0.8,100.0,209.0,10.8,,1022.7,
UA,2/17/2022,1874,N28478,IAD,23:29,0:14,69,61,45,0:09,5,0,0,0,0,45,2022-02-17,12.3,6.7,20.0,0.0,0.0,188.0,25.9,,1017.6,
