Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date UTC /Day,Average Temperature(Celcius) /Day,Minimum Temperature(Celcius) /Day,Maximum Temperature(Celcius) /Day,Daily Precipitation(mm) /Day,Maximum Snowfall(mm) /Day,Wind Direction(Degrees) /Day,Wind Speed(km/h) /Day,Peak Wind Gust(km/h) /Day,Atmospheric Pressure(hPa) /Day,Sunshine Duration(m) /Day
UA,12/18/2019,1643,N832UA,ORD,21:25,21:23,115,109,-2,21:17,6,0,0,0,0,0,2019-12-18,-6.7,-12.1,-2.7,0.0,0.0,295.0,14.0,,1025.8,
UA,12/18/2021,437,N24702,EWR,20:38,20:38,74,64,0,20:34,4,0,0,0,0,0,2021-12-18,7.5,4.4,9.4,3.0,0.0,25.0,10.1,,1017.9,
UA,12/18/2021,2416,N408UA,IAD,23:10,1:37,70,74,147,1:31,6,0,143,4,0,0,2021-12-18,10.5,7.2,13.3,0.0,0.0,3.0,8.3,,1016.3,
UA,12/18/2022,604,N836UA,DEN,15:01,15:22,193,198,21,15:17,5,1,0,5,0,15,2022-12-18,-4.4,-10.5,4.4,0.0,0.0,244.0,10.8,,1013.9,
UA,12/18/2022,2488,N470UA,EWR,23:14,0:04,75,74,50,23:56,8,27,0,0,0,23,2022-12-18,2.9,-0.5,6.1,0.0,0.0,267.0,18.0,,1013.8,
UA,12/18/2022,2645,N23707,ORD,23:57,23:37,107,93,-20,23:32,5,0,0,0,0,0,2022-12-18,-7.0,-9.9,-6.0,0.0,0.0,258.0,19.4,,1021.0,
UA,12/19/2021,2416,N445UA,IAD,23:10,23:35,70,70,25,23:28,7,25,0,0,0,0,2021-12-19,8.3,-1.6,12.2,0.0,0.0,334.0,22.7,,1019.7,
UA,12/19/2022,604,N845UA,DEN,15:01,16:05,193,192,64,16:01,4,64,0,0,0,0,2022-12-19,-2.4,-9.9,8.3,0.0,0.0,245.0,20.2,,1019.3,
UA,12/19/2022,1998,N849UA,ORD,21:07,20:56,113,105,-11,20:44,12,0,0,0,0,0,2022-12-19,-8.7,-12.1,-3.2,0.0,0.0,276.0,6.5,,1030.6,
UA,12/19/2022,2488,N39297,EWR,23:14,23:04,75,66,-10,22:58,6,0,0,0,0,0,2022-12-19,1.5,-1.0,5.6,0.0,0.0,266.0,20.9,,1023.3,
UA,12/20/2021,2416,N490UA,IAD,23:10,23:51,70,82,41,23:40,11,29,0,12,0,0,2021-12-20,0.4,-4.9,5.0,0.0,0.0,60.0,6.5,,1026.8,
UA,12/20/2022,604,N894UA,DEN,14:58,15:02,193,189,4,14:57,5,0,0,0,0,0,2022-12-20,-0.7,-8.8,7.8,0.0,0.0,172.0,15.5,,1022.0,
