Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,3/9/2019,607,N24702,ORD,21:50,21:57,110,109,7,21:52,5,0,0,0,0,0
UA,3/9/2020,1643,N16701,ORD,20:52,22:47,112,106,115,22:44,3,0,0,5,0,110
UA,3/9/2022,1094,N893UA,ORD,20:58,20:56,109,108,-2,20:51,5,0,0,0,0,0
UA,3/9/2022,1200,N453UA,DEN,15:05,15:06,200,190,1,14:59,7,0,0,0,0,0
UA,3/9/2022,1874,N873UA,IAD,23:19,0:18,69,101,59,0:12,6,3,0,32,0,24
UA,3/10/2019,607,N27722,ORD,21:50,22:07,110,93,17,22:02,5,10,0,0,0,7
UA,3/10/2020,1643,N24706,ORD,20:52,20:45,112,111,-7,20:40,5,0,0,0,0,0
UA,3/10/2022,1094,N816UA,ORD,20:58,21:14,109,89,16,21:09,5,2,0,0,0,14
UA,3/10/2022,1200,N488UA,DEN,15:05,15:03,200,176,-2,14:58,5,0,0,0,0,0
UA,3/10/2022,1874,N846UA,IAD,23:19,23:15,69,64,-4,23:10,5,0,0,0,0,0
UA,3/11/2019,607,N16703,ORD,21:50,21:46,110,108,-4,21:42,4,0,0,0,0,0
UA,3/11/2020,1643,N21723,ORD,20:52,21:00,112,94,8,20:56,4,0,0,0,0,0
UA,3/11/2022,1094,N878UA,ORD,20:58,20:48,109,96,-10,20:43,5,0,0,0,0,0
UA,3/11/2022,1200,N453UA,DEN,15:05,14:38,200,175,-27,14:32,6,0,0,0,0,0
UA,3/11/2022,1874,N851UA,IAD,23:19,23:23,69,67,4,23:16,7,0,0,0,0,0
UA,3/12/2019,607,N825UA,ORD,21:50,21:38,110,101,-12,21:34,4,0,0,0,0,0
UA,3/12/2020,1643,N68842,ORD,20:52,20:52,112,111,0,20:48,4,0,0,0,0,0
UA,3/12/2022,1094,N818UA,ORD,20:58,21:10,109,115,12,21:06,4,0,0,0,0,0
UA,3/12/2022,1200,N416UA,DEN,15:05,15:07,200,197,2,15:01,6,0,0,0,0,0
UA,3/12/2022,1874,N828UA,IAD,23:19,0:24,69,70,65,0:19,5,64,0,1,0,0
UA,3/13/2019,607,N38727,ORD,21:50,21:27,110,91,-23,21:23,4,0,0,0,0,0
UA,3/13/2020,1643,N27722,ORD,20:52,20:44,112,105,-8,20:39,5,0,0,0,0,0
UA,3/13/2022,1094,N845UA,ORD,20:58,20:43,109,95,-15,20:39,4,0,0,0,0,0
UA,3/13/2022,1200,N469UA,DEN,15:05,15:03,200,187,-2,14:59,4,0,0,0,0,0
UA,3/13/2022,1874,N897UA,IAD,23:19,23:33,69,67,14,23:28,5,0,0,0,0,0
UA,3/14/2019,607,N27724,ORD,21:50,23:49,110,111,119,23:44,5,0,0,17,0,102
UA,3/14/2020,561,N461UA,ORD,0:06,23:45,111,92,-21,23:40,5,0,0,0,0,0
UA,3/14/2022,1094,N877UA,ORD,20:58,20:46,109,101,-12,20:39,7,0,0,0,0,0
UA,3/14/2022,1200,N469UA,DEN,15:05,15:06,200,190,1,15:00,6,0,0,0,0,0
UA,3/14/2022,1874,N878UA,IAD,23:19,0:25,69,61,66,0:22,3,4,0,0,0,62
UA,3/15/2019,607,N15710,ORD,21:50,21:44,110,108,-6,21:38,6,0,0,0,0,0
UA,3/15/2020,561,N37274,ORD,0:06,0:12,111,86,6,0:08,4,0,0,0,0,0
UA,3/15/2022,1094,N854UA,ORD,20:58,20:46,109,103,-12,20:38,8,0,0,0,0,0
UA,3/15/2022,1200,N460UA,DEN,15:05,14:55,200,189,-10,14:50,5,0,0,0,0,0
UA,3/15/2022,1874,N816UA,IAD,23:19,23:15,69,71,-4,23:09,6,0,0,0,0,0
UA,3/16/2019,607,N16703,ORD,21:50,21:43,110,101,-7,21:39,4,0,0,0,0,0
UA,3/16/2020,1643,N14704,ORD,20:52,20:59,112,98,7,20:55,4,0,0,0,0,0
UA,3/16/2022,1094,N812UA,ORD,20:58,21:21,109,94,23,21:17,4,5,0,0,0,18
UA,3/16/2022,1200,N407UA,DEN,15:05,14:48,200,185,-17,14:43,5,0,0,0,0,0
UA,3/16/2022,1874,N4888U,IAD,23:19,23:19,69,61,0,23:15,4,0,0,0,0,0
UA,3/17/2019,607,N16701,ORD,21:50,21:41,110,104,-9,21:36,5,0,0,0,0,0
UA,3/17/2020,1643,N16709,ORD,20:52,20:27,112,95,-25,20:23,4,0,0,0,0,0
UA,3/17/2022,1094,N817UA,ORD,20:58,21:22,109,127,24,21:00,22,0,0,18,0,6
UA,3/17/2022,1200,N489UA,DEN,15:05,20:22,200,189,317,20:16,6,221,0,0,0,96
UA,3/17/2022,1874,N892UA,IAD,23:19,23:35,69,70,16,23:30,5,15,0,1,0,0
UA,3/18/2019,607,N15710,ORD,21:50,21:43,110,105,-7,21:38,5,0,0,0,0,0
UA,3/18/2020,1643,N13716,ORD,20:52,20:56,112,118,4,20:52,4,0,0,0,0,0
UA,3/18/2022,1094,N814UA,ORD,20:58,20:48,109,102,-10,20:44,4,0,0,0,0,0
UA,3/18/2022,1200,N473UA,DEN,15:05,14:54,200,191,-11,14:51,3,0,0,0,0,0
UA,3/18/2022,1874,N845UA,IAD,23:19,1:07,69,65,108,1:03,4,0,0,0,0,108
UA,3/19/2019,607,N889UA,ORD,21:50,21:37,110,105,-13,21:32,5,0,0,0,0,0
UA,3/19/2020,1643,N33714,ORD,20:52,20:23,112,94,-29,20:20,3,0,0,0,0,0
UA,3/19/2022,1094,N879UA,ORD,20:58,20:52,109,108,-6,20:47,5,0,0,0,0,0
UA,3/19/2022,1200,N454UA,DEN,15:05,0:00,200,0,0,0:00,0,0,0,0,0,0
UA,3/19/2022,1874,N848UA,IAD,23:19,23:24,69,67,5,23:19,5,0,0,0,0,0
UA,3/20/2019,607,N16732,ORD,21:50,21:48,110,113,-2,21:43,5,0,0,0,0,0
UA,3/20/2020,1643,N13716,ORD,20:52,20:11,112,84,-41,20:07,4,0,0,0,0,0
UA,3/20/2022,1094,N822UA,ORD,20:58,20:55,109,105,-3,20:50,5,0,0,0,0,0
UA,3/20/2022,1200,N410UA,DEN,15:05,15:58,200,206,53,15:52,6,6,0,6,0,41
UA,3/20/2022,1874,N853UA,IAD,23:19,23:42,69,73,23,23:36,6,19,0,4,0,0
UA,3/21/2019,607,N38727,ORD,21:50,21:35,110,102,-15,21:30,5,0,0,0,0,0
UA,3/21/2020,561,,ORD,0:06,0:00,111,0,0,0:00,0,0,0,0,0,0
UA,3/21/2022,1094,N844UA,ORD,20:58,20:45,109,100,-13,20:41,4,0,0,0,0,0
UA,3/21/2022,1200,N493UA,DEN,15:05,15:13,200,198,8,15:07,6,0,0,0,0,0
UA,3/21/2022,1874,N898UA,IAD,23:19,23:28,69,75,9,23:23,5,0,0,0,0,0
UA,3/22/2019,607,N17719,ORD,21:50,21:59,110,116,9,21:50,9,0,0,0,0,0
UA,3/22/2020,561,,ORD,0:06,0:00,111,0,0,0:00,0,0,0,0,0,0
UA,3/22/2022,1094,N854UA,ORD,20:58,20:57,109,90,-1,20:53,4,0,0,0,0,0
UA,3/22/2022,1200,N469UA,DEN,15:05,15:04,200,192,-1,15:01,3,0,0,0,0,0
UA,3/22/2022,1874,N846UA,IAD,23:19,0:30,69,62,71,0:25,5,0,0,0,0,71
UA,3/23/2019,607,N23721,ORD,21:50,21:32,110,99,-18,21:26,6,0,0,0,0,0
UA,3/23/2020,1643,N34460,ORD,20:52,20:10,112,92,-42,20:06,4,0,0,0,0,0
UA,3/23/2022,1094,N809UA,ORD,20:58,21:25,109,111,27,21:21,4,6,0,2,0,19
UA,3/23/2022,1200,N467UA,DEN,15:05,15:33,200,203,28,15:29,4,25,0,3,0,0
UA,3/23/2022,1874,N820UA,IAD,23:19,23:37,69,64,18,23:33,4,18,0,0,0,0
UA,3/24/2019,607,N23721,ORD,21:50,21:48,110,111,-2,21:43,5,0,0,0,0,0
UA,3/24/2020,1643,,ORD,20:52,0:00,112,0,0,0:00,0,0,0,0,0,0
UA,3/24/2022,1094,N852UA,ORD,20:58,20:51,109,103,-7,20:45,6,0,0,0,0,0
UA,3/24/2022,1200,N414UA,DEN,15:05,14:57,200,191,-8,14:52,5,0,0,0,0,0
UA,3/24/2022,1874,N844UA,IAD,23:19,23:25,69,66,6,23:19,6,0,0,0,0,0
UA,3/25/2019,607,N38727,ORD,21:50,21:40,110,93,-10,21:38,2,0,0,0,0,0
UA,3/25/2020,1643,,ORD,20:52,0:00,112,0,0,0:00,0,0,0,0,0,0
UA,3/25/2022,1094,N828UA,ORD,20:58,21:14,109,109,16,21:09,5,16,0,0,0,0
UA,3/25/2022,1200,N462UA,DEN,15:05,14:51,200,189,-14,14:46,5,0,0,0,0,0
UA,3/25/2022,1874,N423UA,IAD,23:19,23:32,69,68,13,23:26,6,0,0,0,0,0
UA,3/26/2019,607,N853UA,ORD,21:50,21:37,110,102,-13,21:32,5,0,0,0,0,0
UA,3/26/2020,1643,,ORD,20:52,0:00,112,0,0,0:00,0,0,0,0,0,0
UA,3/26/2022,1094,N876UA,ORD,20:58,20:49,109,103,-9,20:45,4,0,0,0,0,0
UA,3/26/2022,1200,N449UA,DEN,15:02,15:03,197,202,1,14:58,5,0,0,0,0,0
UA,3/26/2022,1874,N871UA,IAD,23:19,23:30,69,72,11,23:24,6,0,0,0,0,0
UA,3/27/2019,607,N13718,ORD,21:50,21:39,110,94,-11,21:33,6,0,0,0,0,0
UA,3/27/2020,1643,,ORD,20:52,0:00,112,0,0,0:00,0,0,0,0,0,0
UA,3/27/2022,1041,N845UA,DEN,15:11,15:07,202,195,-4,15:02,5,0,0,0,0,0
UA,3/27/2022,1185,N895UA,ORD,22:19,22:03,113,106,-16,21:58,5,0,0,0,0,0
UA,3/27/2022,2027,N822UA,IAD,23:37,23:34,70,75,-3,23:28,6,0,0,0,0,0
UA,3/28/2019,607,N25705,ORD,21:50,21:23,110,90,-27,21:18,5,0,0,0,0,0
UA,3/28/2020,561,N64844,ORD,0:28,23:46,111,83,-42,23:42,4,0,0,0,0,0
UA,3/28/2022,1041,N466UA,DEN,15:06,15:01,198,196,-5,14:55,6,0,0,0,0,0
UA,3/28/2022,1185,N882UA,ORD,21:59,21:43,113,103,-16,21:37,6,0,0,0,0,0
UA,3/28/2022,2027,N875UA,IAD,23:37,23:34,70,72,-3,23:29,5,0,0,0,0,0
UA,3/29/2019,607,N39728,ORD,21:50,21:25,110,92,-25,21:22,3,0,0,0,0,0
UA,3/29/2020,2039,,ORD,20:48,0:00,108,0,0,0:00,0,0,0,0,0,0
UA,3/29/2022,1041,N466UA,DEN,15:06,15:25,198,216,19,15:22,3,0,0,19,0,0
UA,3/29/2022,1185,N872UA,ORD,21:59,0:49,113,96,170,0:44,5,0,0,0,0,170
UA,3/29/2022,2027,N873UA,IAD,23:37,23:25,70,65,-12,23:22,3,0,0,0,0,0
UA,3/30/2019,607,N454UA,ORD,21:50,21:51,110,89,1,21:47,4,0,0,0,0,0
